Employee ID,Date,Time In,Time Out
22-49907,11/02/2026,,
EMP2025-1025,11/02/2026,7:00,17:00
EMP2025-1010,11/02/2026,7:00,17:00
EMP2025-1040,11/02/2026,7:00,17:00
EMP2025-1022,11/02/2026,,
EMP2025-1019,11/02/2026,7:00,18:00
EMP2025-1028,11/02/2026,,
EMP2025-1013,11/02/2026,,
EMP2025-1049,11/02/2026,,
EMP2025-1037,11/02/2026,7:00,20:00
EMP2025-1046,11/02/2026,,
EMP2025-1043,11/02/2026,,
EMP2025-1016,11/02/2026,,
EMP2025-1034,11/02/2026,,
EMP2025-1007,11/02/2026,,
EMP2025-1031,11/02/2026,,
EMP2025-1027,11/02/2026,,
EMP2025-1012,11/02/2026,,
EMP2025-1042,11/02/2026,,
EMP2025-1024,11/02/2026,,
EMP2025-1021,11/02/2026,,
EMP2025-1030,11/02/2026,,
EMP2025-1015,11/02/2026,,
EMP2025-1051,11/02/2026,,
EMP2025-1039,11/02/2026,,
EMP2025-1048,11/02/2026,,
EMP2025-1003,11/02/2026,,
EMP2025-1045,11/02/2026,,
EMP2025-1018,11/02/2026,,
EMP2025-1036,11/02/2026,,
EMP2025-1009,11/02/2026,,
EMP2025-1033,11/02/2026,,
EMP2025-1006,11/02/2026,,
EMP2025-1026,11/02/2026,,
EMP2025-1011,11/02/2026,,
EMP2025-1041,11/02/2026,,
EMP2025-1023,11/02/2026,,
EMP2025-1020,11/02/2026,,
EMP2025-1029,11/02/2026,,
EMP2025-1014,11/02/2026,,
EMP2025-1050,11/02/2026,,
EMP2025-1038,11/02/2026,,
EMP2025-1047,11/02/2026,,
EMP2025-1002,11/02/2026,,
EMP2025-1044,11/02/2026,,
EMP2025-1017,11/02/2026,,
EMP2025-1035,11/02/2026,,
EMP2025-1008,11/02/2026,,
EMP2025-1032,11/02/2026,,
EMP2025-1005,11/02/2026,,
EMP2025-2009,11/02/2026,,
EMP2025-2004,11/02/2026,,
EMP2025-2014,11/02/2026,,
EMP2025-2008,11/02/2026,,
EMP2025-2007,11/02/2026,,
EMP2025-2010,11/02/2026,,
EMP2025-2005,11/02/2026,,
EMP2025-2017,11/02/2026,,
EMP2025-2013,11/02/2026,,
EMP2025-2016,11/02/2026,,
EMP2025-2015,11/02/2026,,
EMP2025-2006,11/02/2026,,
EMP2025-2012,11/02/2026,,
EMP2025-2003,11/02/2026,,
EMP2025-2011,11/02/2026,,
EMP2025-2001,11/02/2026,,
EMP2025-2019,11/02/2026,,
ADM-0002,11/02/2026,,
EMP2025-1001,11/02/2026,,
22-499075,11/02/2026,,
ADM-0001,11/02/2026,,
EMP2025-2002,11/02/2026,,
EMP2025-2018,11/02/2026,,
EMP2025-1004,11/02/2026,,
